,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
0,6G: The next frontier: From holographic messaging to artificial intelligence using subterahertz and visible light communication,"EC Strinati, S Barbarossa, ...",IEEE Vehicular Technology Magazine,1556-6080,14,3,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8792135/?casa_token=Lse1HAY5fzYAAAAA:QAuvYVFgc_V3euDE3J95PHDCTRCH5px-BIQ2zd_CYX74cOUEEMHgKDRaJg1CrZEaWQiCgA_OP-jqUA,"With its ability to provide a single platform enabling a variety of services, such as enhanced mobile broadband communications, virtual reality, automated driving, and the Internet of Things, 5G represents a breakthrough in the design of communication networks. Nevertheless, considering the increasing requests for new services and predicting the development of new technologies within a decade, it is already possible to envision the need to move beyond 5G and design a new architecture incorporating innovative technologies to satisfy new needs at both the individual and societal levels.",,10.1109/MVT.2019.2921162,"5G mobile communication , Semantics , Three-dimensional displays , Cloud computing , Machine learning "
1,Future intelligent and secure vehicular network toward 6G: Machine-learning approaches,"F Tang, Y Kawamoto, N Kato, J Liu",Proceedings of the IEEE,1558-2256,108,2,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8926369/?casa_token=EtaE-KEbZH0AAAAA:mhc9SW55zQMx0H8KzCPSjiAqrQX2iJ7C7OFs9y4OPZCVNCcyS_VoBgdiKYRCPe1Qk3qeJFLDRGIaQA,"As a powerful tool, the vehicular network has been built to connect human communication and transportation around the world for many years to come. However, with the rapid growth of vehicles, the vehicular network becomes heterogeneous, dynamic, and large scaled, which makes it difficult to meet the strict requirements, such as ultralow latency, high reliability, high security, and massive connections of the next-generation (6G) network. Recently, machine learning (ML) has emerged as a powerful artificial intelligence (AI) technique to make both the vehicle and wireless communication highly efficient and adaptable. Naturally, employing ML into vehicular communication and network becomes a hot topic and is being widely studied in both academia and industry, paving the way for the future intelligentization in 6G vehicular networks. In this article, we provide a survey on various ML techniques applied to communication, networking, and security parts in vehicular networks and envision the ways of enabling AI toward a future 6G vehicular network, including the evolution of intelligent radio (IR), network intelligentization, and self-learning with proactive exploration.",,10.1109/JPROC.2019.2954595,"Vehicle dynamics , Resource management , Security , Array signal processing , Machine learning , OFDM , Vehicle-to-everything , Vehicular ad hoc networks "
2,Quantum machine learning for 6G communication networks: State-of-the-art and vision for the future,"SJ Nawaz, SK Sharma, S Wyne, MN Patwary, ...",IEEE Access,2169-3536,7,,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8681450/,"The upcoming fifth generation (5G) of wireless networks is expected to lay a foundation of intelligent networks with the provision of some isolated artificial intelligence (AI) operations. However, fully intelligent network orchestration and management for providing innovative services will only be realized in Beyond 5G (B5G) networks. To this end, we envisage that the sixth generation (6G) of wireless networks will be driven by on-demand self-reconfiguration to ensure a many-fold increase in the network performance and service types. The increasingly stringent performance requirements of emerging networks may finally trigger the deployment of some interesting new technologies, such as large intelligent surfaces, electromagnetic-orbital angular momentum, visible light communications, and cell-free communications, to name a few. Our vision for 6G is a massively connected complex network capable of rapidly responding to the users' service calls through real-time learning of the network state as described by the network edge (e.g., base-station locations and cache contents), air interface (e.g., radio spectrum and propagation channel), and the user-side (e.g., battery-life and locations). The multi-state, multi-dimensional nature of the network state, requiring the real-time knowledge, can be viewed as a quantum uncertainty problem. In this regard, the emerging paradigms of machine learning (ML), quantum computing (QC), and quantum ML (QML) and their synergies with communication networks can be considered as core 6G enablers. Considering these potentials, starting with the 5G target services and enabling technologies, we provide a comprehensive review of the related state of the art in the domains of ML (including deep learning), QC, and QML and identify their potential benefits, issues, and use cases for their applications in the B5G networks. Subsequently, we propose a novel QC-assisted and QML-based framework for 6G communication networks while articulating its challenges and potential enabling technologies at the network infrastructure, network edge, air interface, and user end. Finally, some promising future research directions for the quantum- and QML-assisted B5G networks are identified and discussed.",,10.1109/ACCESS.2019.2909490,"5G mobile communication , Communication networks , Quantum computing , Machine learning , Wireless networks , Parallel processing , Quantum communication "
3,Channel state information prediction for 5G wireless communications: A deep learning approach,"C Luo, J Ji, Q Wang, X Chen, P Li",IEEE Transactions on Network Science and Engineering,2334-329X,7,1,,2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8395053/?casa_token=tkYk7_LyyecAAAAA:XoZm9C-R6Gbi5VcPYJPO4Hprv70_2JpqPml0pKq8IriJlBe6Fqt8LzIoPr0tS5dAzElr2BFvKjg8HQ,"Channel state information (CSI) estimation is one of the most fundamental problems in wireless communication systems. Various methods, so far, have been developed to conduct CSI estimation. However, they usually require high computational complexity, which makes them unsuitable for 5G wireless communications due to employing many new techniques (e.g., massive MIMO, OFDM, and millimeter-Wave (mmWave)). In this paper, we propose an efficient online CSI prediction scheme, called OCEAN, for predicting CSI from historical data in 5G wireless communication systems. Specifically, we first identify several important features affecting the CSI of a radio link and a data sample consists of the information of the features and the CSI. We then design a learning framework that is an integration of a CNN (convolutional neural network) and a long short term with memory (LSTM) network. We also further develop an offline-online two-step training mechanism, enabling the prediction results to be more stable when applying it to practical 5G wireless communication systems. To validate OCEAN's efficacy, we consider four typical case studies, and conduct extensive experiments in the four scenarios, i.e., two outdoor and two indoor scenarios. The experiment results show that OCEAN not only obtains the predicted CSI values very quickly but also achieves highly accurate CSI prediction with up to 2.650-3.457 percent average difference ratio (ADR) between the predicted and measured CSI.",,10.1109/TNSE.2018.2848960,"Wireless communication , 5G mobile communication , Estimation , Channel estimation , MIMO communication , Oceans , Fading channels "
4,"Machine learning for 5G/B5G mobile and wireless communications: Potential, limitations, and future directions","ME Morocho-Cayamcela, H Lee, W Lim",IEEE Access,2169-3536,7,,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8844682/,"Driven by the demand to accommodate today's growing mobile traffic, 5G is designed to be a key enabler and a leading infrastructure provider in the information and communication technology industry by supporting a variety of forthcoming services with diverse requirements. Considering the ever-increasing complexity of the network, and the emergence of novel use cases such as autonomous cars, industrial automation, virtual reality, e-health, and several intelligent applications, machine learning (ML) is expected to be essential to assist in making the 5G vision conceivable. This paper focuses on the potential solutions for 5G from an ML-perspective. First, we establish the fundamental concepts of supervised, unsupervised, and reinforcement learning, taking a look at what has been done so far in the adoption of ML in the context of mobile and wireless communication, organizing the literature in terms of the types of learning. We then discuss the promising approaches for how ML can contribute to supporting each target 5G network requirement, emphasizing its specific use cases and evaluating the impact and limitations they have on the operation of the network. Lastly, this paper investigates the potential features of Beyond 5G (B5G), providing future research directions for how ML can contribute to realizing B5G. This article is intended to stimulate discussion on the role that ML can play to overcome the limitations for a wide deployment of autonomous 5G/B5G mobile and wireless communications.",,10.1109/ACCESS.2019.2942390,"Wireless communication , Training , 5G mobile communication , Supervised learning , Task analysis , Reinforcement learning "
5,"6G Visions: Mobile ultra-broadband, super internet-of-things, and artificial intelligence","L Zhang, YC Liang, D Niyato",China Communications,1673-5447,16,8,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8820755/?casa_token=pqttGXbG8rcAAAAA:OxRJhbXk41rtIb-kYMbZSIv_-PFZaCYXkfeO8FOop2STq19ITXq_O70yJ5eztrB9VJE0JFCvwn9UHw,"With a ten-year horizon from concept to reality, it is time now to start thinking about what will the sixth-generation (6G) mobile communications be on the eve of the fifth-generation (5G) deployment. To pave the way for the development of 6G and beyond, we provide 6G visions in this paper. We first introduce the state-of-the-art technologies in 5G and indicate the necessity to study 6G. By taking the current and emerging development of wireless communications into consideration, we envision 6G to include three major aspects, namely, mobile ultra-broadband, super Internet-of-Things (IoT), and artificial intelligence (AI). Then, we review key technologies to realize each aspect. In particular, teraherz (THz) communications can be used to support mobile ultra-broadband, symbiotic radio and satellite-assisted communications can be used to achieve super IoT, and machine learning techniques are promising candidates for AI. For each technology, we provide the basic principle, key challenges, and state-of-the-art approaches and solutions.",,10.23919/JCC.2019.08.001,"6G mobile communication , 5G mobile communication , Absorption , Wireless communication , Artificial intelligence , Bandwidth , 3GPP "
6,"Deep learning for physical-layer 5G wireless techniques: Opportunities, challenges and solutions","H Huang, S Guo, G Gui, Z Yang, J Zhang, ...",IEEE Wireless Communications,1558-0687,27,1,,2019,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8786074/?casa_token=kxqgNlyhs24AAAAA:UyqUdrD5Rr5p2c1ywGBwObR9DNdQ3NZkLqWD8OnRlj6xwhpvDGcbEAcj5Am242b-ZTZc71Km2-MFVg,"The new demands for high-reliability and ultra-high capacity wireless communication have led to extensive research into 5G communications. However, current communication systems, which were designed on the basis of conventional communication theories, significantly restrict further performance improvements and lead to severe limitations. Recently, the emerging deep learning techniques have been recognized as a promising tool for handling the complicated communication systems, and their potential for optimizing wireless communications has been demonstrated. In this article, we first review the development of deep learning solutions for 5G communication, and then propose efficient schemes for deep learning-based 5G scenarios. Specifically, the key ideas for several important deep learning-based communication methods are presented along with the research opportunities and challenges. In particular, novel communication frameworks of NOMA, massive multiple-input multiple-output (MIMO), and millimeter wave (mmWave) are investigated, and their superior performances are demonstrated. We envision that the appealing deep learning- based wireless physical layer frameworks will bring a new direction in communication theories and that this work will move us forward along this road.",,10.1109/MWC.2019.1900027,"MIMO communication , Deep learning , 5G mobile communication , Channel estimation , Wireless communication , NOMA "
7,Artificial-intelligence-enabled intelligent 6G networks,"H Yang, A Alphones, Z Xiong, D Niyato, J Zhao, ...",2022 IEEE International Conference on Data Science and Information System (ICDSIS),,,,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9237460/?casa_token=KQN2dYbgKmYAAAAA:4fFRic3vEQwlMGgdajmKYPauvBQSbf7AEn-xvRds9_UpR7HqQuXd31lBK__Yt-UW6FgLqhcDprcCTw,"5G Generation connections, which have many novel features compared to Four-G connections, will be dispatched authoritatively very soon. Between 2027 and 2030, it is anticipated that the sixth-generation wireless communication system, utilising the entirety of artificial intelligence, will be implemented. In addition to 5G, there are a number of fundamental challenges that must be addressed, including increased scheme capability, higher data rates, and improved quality of service (QoS). This accessible manuscript discusses upcoming 6G wireless technology and its situation. Emerging technologies such as artificial intelligence and optical wireless technology are discussed. With 6G, mobile networks are anticipated to become one hundred times faster. As 6G expands beyond terrestrial networks and into space, it will enable new scenarios and services with terabytes of data traffic, enabling unprecedented human-machine interaction. 5G is intended to provide peak data rates of 20 Gigabits per second (Gbps) and average user experience rates of 120 Megabits per second (Mbps). It is anticipated that 6G speeds will be closer to 1,000 Gbps and 1 Gbps, respectively. 6G enables options such as holographic communication à la Star Trek and X reality (XR, which integrates AR, VR, and Mixed Reality). One of the goals of 6G cyberspace will be to deliver messages with a microsecond delay as opposed to a 1000-period delay. The 6G technology is enhanced by the combination of artificial intelligence and machine learning (AI), Using sub-mm waves, the 6G significantly influences the calculated communication capability for location determination. Using sub-mm Wave (e.g., wavelengths less than one millimetre) in conjunction with frequency selectivity to determine comparative electromagnetic incorporation charge will lead to significant advancements in wireless sensing technology. In terms of 5G, the calculation of mobile edge computing (MEC) is merely the tip of the iceberg. By the time 6G networks are established, it will be simpler to incorporate computation into collective communication and arithmetic. This generation continues to evolve in response to more distributed radio access networks (RAN) and the desire to utilise the terahertz (THz) range to further extend functionality, reduce latency, and improve spectrum sharing efficiency. It is expected that application 6G will find widespread use in the administration and production of emulsions. Clearly, 5G development communications are more uniform, and global spending has begun. Academic cooperation has started to incubate the next generation of wireless communication systems (namely 6G) in fields such as community security, health monitoring, and space excellent capabilities in order to further the development of wireless networks. Sixth G intended to provide the foundation for the stratification of communication needs in the 2030s.",,10.1109/ICDSIS55133.2022.9915945,"6G mobile communication , Wireless communication , Radio frequency , Wireless sensor networks , 5G mobile communication , Quality of service , Communication system security "
8,Ten challenges in advancing machine learning technologies toward 6G,"N Kato, B Mao, F Tang, Y Kawamoto, ...",IEEE Wireless Communications,1558-0687,27,3,,2020,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9061001/?casa_token=KEZti7RJkhcAAAAA:SEfyNunNDQc0j_iPyIGEDGBF2wan3U5rPL5YF0lMhYz4oeugFMtrzxSf7bKP9NmIeVXnIYSpsOvrng,"As the 5G standard is being completed, academia and industry have begun to consider a more developed cellular communication technique, 6G, which is expected to achieve high data rates up to 1 Tb/s and broad frequency bands of 100 GHz to 3 THz. Besides the significant upgrade of the key communication metrics, Artificial Intelligence (AI) has been envisioned by many researchers as the most important feature of 6G, since the state-of-the-art machine learning technique has been adopted as the top solution in many extremely complex scenarios. Network intelligentization will be the new trend to address the challenges of exponentially increasing number of connected heterogeneous devices. However, compared with the application of machine learning in other fields, such as computer games, current research on intelligent networking still has a long way to go to realize the automatically- configured cellular communication systems. Various problems in terms of communication system, machine learning architectures, and computation efficiency should be addressed for the full use of this technique in 6G. In this paper, we analyze machine learning techniques and introduce 10 most critical challenges in advancing the intelligent 6G system.",,10.1109/MWC.001.1900476,"Machine learning , 5G mobile communication , Machine learning algorithms , Measurement , Network security , Physical layer "
9,A self-adaptive deep learning-based system for anomaly detection in 5G networks,"LF Maimó, ÁLP Gómez, FJG Clemente, MG Pérez, ...",IEEE Access,2169-3536,6,,,2018,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8283694/,"The upcoming fifth-generation (5G) mobile technology, which includes advanced communication features, is posing new challenges on cybersecurity defense systems. Although innovative approaches have evolved in the last few years, 5G will make existing intrusion detection and defense procedures become obsolete, in case they are not adapted accordingly. In this sense, this paper proposes a novel 5G-oriented cyberdefense architecture to identify cyberthreats in 5G mobile networks efficient and quickly enough. For this, our architecture uses deep learning techniques to analyze network traffic by extracting features from network flows. Moreover, our proposal allows adapting, automatically, the configuration of the cyberdefense architecture in order to manage traffic fluctuation, aiming both to optimize the computing resources needed in each particular moment and to fine tune the behavior and the performance of analysis and detection processes. Experiments using a well-known botnet data set depict how a neural network model reaches a sufficient classification accuracy in our anomaly detection system. Extended experiments using diverse deep learning solutions analyze and determine their suitability and performance for different network traffic loads. The experimental results show how our architecture can self-adapt the anomaly detection system based on the volume of network flows gathered from 5G subscribers' user equipments in real-time and optimizing the resource consumption.",,10.1109/ACCESS.2018.2803446,"Anomaly detection , 5G mobile communication , Machine learning , Botnet , Computer architecture , Feature extraction "
