,SRO
2100.0MHz,0.0
2100.2MHz,0.0
2100.4MHz,0.0
2100.6MHz,0.0
2100.8MHz,1.69
2101.0MHz,47.46
2101.2MHz,49.15
2101.4MHz,45.76
2101.6MHz,55.93
2101.8MHz,45.76
2102.0MHz,25.42
2102.2MHz,11.86
2102.4MHz,5.08
2102.6MHz,0.0
2102.8MHz,0.0
2103.0MHz,1.69
2103.2MHz,0.0
2103.4MHz,0.0
2103.6MHz,1.69
2103.8MHz,0.0
2104.0MHz,1.69
2104.2MHz,1.69
2104.4MHz,1.69
2104.6MHz,1.69
2104.8MHz,0.0
2105.0MHz,1.69
2105.2MHz,1.69
2105.4MHz,1.69
2105.6MHz,1.69
2105.8MHz,1.69
2106.0MHz,1.69
2106.2MHz,1.69
2106.4MHz,1.69
2106.6MHz,1.69
2106.8MHz,1.69
2107.0MHz,1.69
2107.2MHz,1.69
2107.4MHz,1.69
2107.6MHz,1.69
2107.8MHz,1.69
2108.0MHz,1.69
2108.2MHz,1.69
2108.4MHz,1.69
2108.6MHz,1.69
2108.8MHz,1.69
2109.0MHz,1.69
2109.2MHz,1.69
2109.4MHz,1.69
2109.6MHz,1.69
2109.8MHz,1.69
2110.0MHz,1.69
2110.2MHz,1.69
2110.4MHz,1.69
2110.6MHz,1.69
2110.8MHz,1.69
2111.0MHz,1.69
2111.2MHz,1.69
2111.4MHz,1.69
2111.6MHz,1.69
2111.8MHz,1.69
2112.0MHz,1.69
2112.2MHz,1.69
2112.4MHz,1.69
2112.6MHz,1.69
2112.8MHz,1.69
2113.0MHz,1.69
2113.2MHz,1.69
2113.4MHz,1.69
2113.6MHz,1.69
2113.8MHz,1.69
2114.0MHz,13.56
2114.2MHz,1.69
2114.4MHz,1.69
2114.6MHz,1.69
2114.8MHz,1.69
2115.0MHz,1.69
2115.2MHz,1.69
2115.4MHz,1.69
2115.6MHz,1.69
2115.8MHz,1.69
2116.0MHz,1.69
2116.2MHz,1.69
2116.4MHz,3.39
2116.6MHz,3.39
2116.8MHz,100.0
2117.0MHz,100.0
2117.2MHz,100.0
2117.4MHz,5.08
2117.6MHz,5.08
2117.8MHz,100.0
2118.0MHz,100.0
2118.2MHz,5.08
2118.4MHz,1.69
2118.6MHz,3.39
2118.8MHz,1.69
2119.0MHz,1.69
2119.2MHz,3.39
2119.4MHz,1.69
2119.6MHz,1.69
2119.8MHz,1.69
2120.0MHz,1.69
2120.2MHz,1.69
2120.4MHz,1.69
2120.6MHz,1.69
2120.8MHz,1.69
2121.0MHz,1.69
2121.2MHz,3.39
2121.4MHz,3.39
2121.6MHz,3.39
2121.8MHz,3.39
2122.0MHz,5.08
2122.2MHz,5.08
2122.4MHz,20.34
2122.6MHz,37.29
2122.8MHz,100.0
2123.0MHz,100.0
2123.2MHz,100.0
2123.4MHz,8.47
2123.6MHz,5.08
2123.8MHz,5.08
2124.0MHz,5.08
2124.2MHz,5.08
2124.4MHz,1.69
2124.6MHz,1.69
2124.8MHz,1.69
2125.0MHz,1.69
2125.2MHz,1.69
2125.4MHz,8.47
2125.6MHz,18.64
2125.8MHz,20.34
2126.0MHz,16.95
2126.2MHz,11.86
2126.4MHz,8.47
2126.6MHz,8.47
2126.8MHz,8.47
2127.0MHz,8.47
2127.2MHz,11.86
2127.4MHz,10.17
2127.6MHz,16.95
2127.8MHz,100.0
2128.0MHz,100.0
2128.2MHz,100.0
2128.4MHz,100.0
2128.6MHz,100.0
2128.8MHz,18.64
2129.0MHz,84.75
2129.2MHz,94.92
2129.4MHz,100.0
2129.6MHz,100.0
2129.8MHz,100.0
2130.0MHz,15.25
2130.2MHz,11.86
2130.4MHz,10.17
2130.6MHz,10.17
2130.8MHz,10.17
2131.0MHz,10.17
2131.2MHz,8.47
2131.4MHz,11.86
2131.6MHz,15.25
2131.8MHz,18.64
2132.0MHz,6.78
2132.2MHz,5.08
2132.4MHz,20.34
2132.6MHz,100.0
2132.8MHz,100.0
2133.0MHz,100.0
2133.2MHz,3.39
2133.4MHz,3.39
2133.6MHz,3.39
2133.8MHz,3.39
2134.0MHz,1.69
2134.2MHz,3.39
2134.4MHz,3.39
2134.6MHz,1.69
2134.8MHz,0.0
2135.0MHz,0.0
2135.2MHz,0.0
2135.4MHz,0.0
2135.6MHz,0.0
2135.8MHz,0.0
2136.0MHz,0.0
2136.2MHz,0.0
2136.4MHz,0.0
2136.6MHz,0.0
2136.8MHz,1.69
2137.0MHz,1.69
2137.2MHz,1.69
2137.4MHz,1.69
2137.6MHz,1.69
2137.8MHz,6.78
2138.0MHz,10.17
2138.2MHz,11.86
2138.4MHz,11.86
2138.6MHz,13.56
2138.8MHz,16.95
2139.0MHz,15.25
2139.2MHz,15.25
2139.4MHz,15.25
2139.6MHz,15.25
2139.8MHz,15.25
2140.0MHz,15.25
2140.2MHz,15.25
2140.4MHz,11.86
2140.6MHz,15.25
2140.8MHz,15.25
2141.0MHz,15.25
2141.2MHz,15.25
2141.4MHz,11.86
2141.6MHz,3.39
2141.8MHz,3.39
2142.0MHz,3.39
2142.2MHz,1.69
2142.4MHz,1.69
2142.6MHz,1.69
2142.8MHz,1.69
2143.0MHz,3.39
2143.2MHz,3.39
2143.4MHz,3.39
2143.6MHz,3.39
2143.8MHz,3.39
2144.0MHz,5.08
2144.2MHz,5.08
2144.4MHz,6.78
2144.6MHz,8.47
2144.8MHz,10.17
2145.0MHz,11.86
2145.2MHz,13.56
2145.4MHz,18.64
2145.6MHz,20.34
2145.8MHz,20.34
2146.0MHz,25.42
2146.2MHz,28.81
2146.4MHz,25.42
2146.6MHz,27.12
2146.8MHz,33.9
2147.0MHz,37.29
2147.2MHz,44.07
2147.4MHz,49.15
2147.6MHz,55.93
2147.8MHz,67.8
2148.0MHz,86.44
2148.2MHz,91.53
2148.4MHz,91.53
2148.6MHz,88.14
2148.8MHz,79.66
2149.0MHz,54.24
2149.2MHz,32.2
2149.4MHz,5.08
2149.6MHz,0.0
